,Location,Cood
269,华岐,"120.468994,31.645578"
270,宣化,"115.061992,40.611391"
271,惠安,"118.796580,25.030840"
272,宋坪,"109.252495,36.596210"
273,盐池,"107.407359,37.783205"
274,中山桥,[]
275,东五,"123.960007,47.358963"
276,南华,[]
277,永新,[]
278,宣化南,"115.061992,40.611391"
279,土门,"110.797592,32.680424"
280,李子园,"111.949272,25.582159"
281,榆林子,[]
282,马家堡,"123.611031,41.965359"
283,沈家滩,"98.757408,39.712029"
284,磐安,"120.440716,29.059819"
285,五大坪,[]
286,天水（低速）,"105.724947,34.580863"
287,花墙,"115.057762,32.107800"
288,哈达铺,"121.310524,40.938828"
289,乾县,"108.239473,34.527551"
290,南台子,"127.157631,45.287785"
291,九龙川,[]
292,庆阳高铁站,"107.643631,35.709077"
293,柏树,"113.180206,23.098125"
294,新坝东,[]
295,鱼卡,"94.994949,38.047142"
296,鸳鸯,"110.868164,32.612980"
297,东桥,"121.286232,30.181400"
298,小河,"115.254272,24.099909"
299,麦西,"113.650337,33.771290"
300,双岔,"126.270294,41.679989"
301,孟庄,"115.996239,34.269581"
302,新华,[]
303,汉岔,[]
304,高庙山,"105.943977,35.422634"
305,吊子峪,"105.356522,33.500244"
306,天祝,[]
307,郎木寺,"102.636803,34.090034"
308,冶力关,"103.662727,34.963436"
309,兴仁堡,[]
310,文县,"104.683434,32.943815"
311,西安高铁站(商务),"108.947000,34.292000"
312,咸阳机场,"108.764819,34.438157"
313,武都*,"104.953921,33.371610"
314,兰州西,"103.834303,36.061089"
315,兰州机场,"103.616659,36.505923"
316,正宁,[]
317,平泉,"117.959295,40.907337"
318,平安,[]
319,陇城,"109.762268,26.015284"
320,西靖,"116.049011,36.347416"
321,天水镇,"105.607230,34.313180"
322,关子镇,"105.384285,34.628345"
323,张川,"107.797066,36.661774"
324,华家岭,"117.033913,36.094856"
325,延安,"109.489727,36.585455"
326,广元,"105.843357,32.435435"
327,罗城,"108.895883,24.776058"
328,夏河县路口,"102.521807,35.202503"
329,红寺堡,"106.072008,37.425872"
330,白银汽车站,"104.173354,36.537447"
331,平南,"110.390454,23.523303"
332,娘娘坝,"106.405304,33.396824"
333,大沙坪,"103.831955,36.091164"
334,雷大,"105.779816,35.260826"
335,肃南岔路,[]
336,甜水堡,[]
337,六盘山镇,[]
338,齐寿,"105.761749,34.354122"
339,中山桥北,[]
340,洪德,"109.893112,42.241043"
341,伏镇,"116.796410,35.842712"
342,碧口,"117.643936,26.277437"
343,杨家寺,"116.459221,37.531315"
344,苏城,"119.997711,32.196091"
345,庆城,"107.894603,35.982329"
346,杨家寺（扣费）,[]
347,望关,"105.376938,33.453903"
348,皋兰,[]
349,富县,"109.379711,35.988010"
350,云山,"105.794388,34.759388"
351,兰州新区,"103.666770,36.487915"
352,永和,[]
353,太阳山,[]
354,六十铺,[]
355,大门,"121.065384,27.994066"
356,江洛,"88.825584,29.178637"
357,同心,"105.914458,36.980575"
358,剡阕,[]
359,店头,"118.295784,36.069752"
360,松林,"122.064621,41.125099"
361,贯寺,"105.218651,34.881187"
362,席西村,"108.034012,34.317852"
363,长道,"105.341087,34.205009"
364,新塬,"105.367104,36.161522"
365,夏河(王格尔塘),[]
366,早胜,"108.012871,35.403374"
367,镇江,"119.425836,32.187849"
368,蛟龙掌,"105.866127,35.344280"
369,桃山岔口,"130.979516,45.782269"
370,冰草湾,"103.584480,36.048656"
371,土桥,"126.954445,44.710854"
372,阿右旗,"101.674178,39.208495"
373,胡沟,"111.280861,34.519615"
374,头寨子,"124.003761,42.549747"
375,哈密,"93.514916,42.818501"
376,岷县优惠票,"104.036880,34.438076"
377,志丹,"108.640429,36.940771"
378,陈井,"115.350456,36.526340"
379,安宁,"102.455480,24.926140"
380,界牌,"118.577530,28.544945"
381,陇县,"106.864397,34.893050"
382,白银汽车东站,"104.177000,36.543440"
383,佛崖,"118.566986,36.332710"
384,南康,"114.762100,25.665800"
385,三叉,"108.744591,22.733322"
386,新地,"110.154999,22.621326"
387,红崖子,"120.514992,40.621101"
388,玉门老市区,"98.499388,39.724226"
389,花海乡,"119.941757,31.708765"
390,郭城,"114.646675,28.789673"
391,毛坝,"108.281479,32.310158"
392,赤金镇,"97.428650,40.015320"
393,定平,"99.660408,39.463486"
394,马营,"113.237312,40.045879"
395,大草滩,"87.769287,44.021671"
396,红沙河,[]
397,羊永,"103.483780,34.647984"
398,北城,"104.188522,30.814751"
399,顺宁,"99.903580,24.607506"
400,暖泉,"123.077309,47.901108"
401,沙金,"126.904640,42.048206"
402,寺儿沟,"121.670555,38.918560"
403,尧甸,[]
404,榆木庄,"99.922096,38.965530"
405,红水,"103.837784,37.505833"
406,板桥,"110.634071,21.460163"
407,樊学,"107.598129,37.069107"
408,洮砚,"103.796738,34.769463"
409,梁塬,"107.303436,36.689156"
410,祁连,[]
411,千阳,[]
412,岸头,"121.472206,28.733366"
413,南台,[]
414,新开,"133.836670,46.984261"
415,王家店（牛家山）,"120.619362,40.846516"
416,刘寨,"113.652550,34.785812"
417,热当坝,[]
418,侯川,"110.587196,38.713795"
419,马街,"104.959183,33.458748"
420,锦界,"110.184464,38.757294"
421,大河,"107.423866,32.651737"
422,下河清,"98.887779,39.562126"
423,两河口,[]
424,西固,"103.659202,36.083411"
425,秦岭,"108.450630,34.304596"
426,赤金服务区,"97.428650,40.015320"
427,天津,"117.200983,39.084158"
428,李川,"105.543922,35.534424"
429,顺德,"113.249185,22.838142"
